,Title,Description,Company,Location,Actively_Hiring,ListDate,DaysAgo,Link,Latest,Scraped
118,Linux System Engineer,"Linux system engineer

Mission principale
Assurer l’efficience des systèmes informatiques de l’entreprise, accompagner la mise en production des nouvelles solutions d’infrastructures, gérer le cycle de vie des produits et des équipements, dans un contexte multi-Datacenter, multi-Cloud et ISO 27001.",FIDELFI,"Agadir, Souss-Massa, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/linux-system-engineer-at-fidelfi-3784509748?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=hc%2BpjzUBJSxWLuKpsnO3sw%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
117,Requirements Admin Engineer,"Rabat Tech Center, Technopolis

Driving the future of automotive. We’re Lear For You.

Company Overview

Lear, a global automotive technology leader in Seating and E-Systems, enables superior in-vehicle experiences for consumers around the world. Our diverse team of more than 165,000 talented employees in 37 countries is driven by a commitment to innovation, operational excellence, and sustainability. Lear is Making every drive better™ by providing the technology for safer, smarter, and more comfortable journeys. Lear, headquartered in Southfield, Michigan, serves every major automaker in the world and ranks #186 on the Fortune 500. Further information about Lear is available at lear.com, or follow us on Twitter @LearCorporation

Lear has been operating in Morocco since 2003, offering a wide range of products and demonstrating strong expertise in electrical distribution systems, electronics, surface materials, and seating JIT(Just-in-Time). With its 17 cutting-edge production and engineering sites located in Rabat, Tangier, Kenitra, and Meknes, Lear Morocco has become a major and significant player in the industry employing over 19,000 diverse & talented team members.

Lear Morocco has been certified as a Top Employer for 2022 and 2023 in recognition of its unwavering commitment to operational excellence, innovation, and fostering supportive work environment.



Our future Requirements Admin Engineer will be primarily responsible for updating and maintaining the requirements database, gathering measures, analyzing metrics, and reporting requirements status to the projects team.









Why Lear

We offer a fantastic place to work, opportunity to grow and being part of a company who places its people first.

What We Offer


Lear Corporation is an Equal Opportunity Employer, committed to a diverse workplace.

Applicants must submit their resumes for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and will become the property of Lear Corporation.",Lear Corporation,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/requirements-admin-engineer-at-lear-corporation-3774809619?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=0XFlmRkYUX0ZRmMwKcguww%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
173,Développeur Dotnet Core/Développeuse Dotnet Core,"Missions principales:

Étudier, concevoir, développer, tester et maintenir les composants techniques associés aux produits de l'équipe.
Participer aux conceptions techniques à partir de l’expression des besoins détaillée.",Akkodis,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-dotnet-core-d%C3%A9veloppeuse-dotnet-core-at-akkodis-3777898167?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=Fb1dT6N4cdEYsnAWi5n5Jw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
115,Développeur Java 8 (F/H),"Description du poste :
En qualité d'un développeur , vous serez appelé à collaborer à plusieurs initiatives majeures de l’unité. Ce rôle exige une communication et une interaction avec les multiples clients internes et externes pour veiller à ce que chaque module interagisse adéquatement avec les autres. Le développeur doit également résoudre les problèmes et élaborer de nouvelles améliorations pour atteindre les résultats ciblés. Si vous avez de l’expérience en développement Web et êtes enthousiaste à l’idée de l’apprentissage continu, nous aimerions vous connaître.",CGI,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-java-8-f-h-at-cgi-3785362309?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=n%2FjcS650bhMIg0HRLb7ZWg%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
182,[CDI] Développeur Dotnet/Sharepoint,"Et si vous rejoignez l'aventure Astek Maroc ?

Votre quotidien sera rythmé par :
Réalisation des évolutions
Résolution des bugs",Astek Morocco,"Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/cdi-d%C3%A9veloppeur-dotnet-sharepoint-at-astek-morocco-3780695347?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=EoDvo%2BNM8qyvsOvEehka0Q%3D%3D&position=9&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
111,Ingénieur DevOps AWS - Hybride Ref. 005167,"Missions:
Déployer et maintenir des systèmes évolutifs, automatisés, bien documentés ;
Construire, dimensionner et sécuriser l'infrastructure client ;
Faire l’audit et la préparation des migrations ;",Novancy One | Digital Talent Recruitment,"Casablanca, Casablanca-Settat, Morocco",No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-devops-aws-hybride-ref-005167-at-novancy-one-%C2%A0recrutement-de-talents-du-digital-3780617042?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=PHJLp8Y30Zt7yQEC1qqU6Q%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
214,Expert .NET Developer Freelance - Remote Ref. 005166,"Roles and Responsibilities:
Develop overall technical strategies for external client projects from technical requirements
Communicate with external clients on a regular basis regarding progress, challenges, timelines and end results of client projects",Novancy One | Digital Talent Recruitment,"Casablanca, Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/expert-net-developer-freelance-remote-ref-005166-at-novancy-one-%C2%A0recrutement-de-talents-du-digital-3779390750?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=h%2BjyGcw7pzUcgX9aHx8evw%3D%3D&position=16&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
116,Développeur Java F/H,"Passionné par l’agilité et le développement sur l’environnement JAVA?

Vous êtes adepte de la veille technologique ?

Vous souhaitez vous investir dans des projets innovants et challengeant ?

Au sein de nous recherchons un pour intervenir sur nos projets et contribuer au développement de notre Practice « Digital Techno et Data » dans l'agence de .











Vous ferez partie de : la proximité et la taille humaine de notre organisation vous permettront de rendre visible vos initiatives et d’évoquer facilement vos projets. En parallèle, le dynamisme de l’entreprise et sa croissance perpétuelle multiplieront vos opportunités d’évolution.

Vous bénéficierez d’un par votre mentor tout au long de votre parcours chez VISEO.

Our privacy policy has been updated to comply with the new regulations. We invite you to consult it by clicking here: https://www.viseo.com/fr/politique-de-confidentialite. The VISEO Group uses the data collected as part of your application to assess your suitability for the job in question. We use the Jazz HR tool to help us in our recruitment process. This tool complies with current regulations on the protection of personal data. The tool is hosted in the United States and is PrivacyShield certified for HR data. In all cases, we may keep your file for 5 years so that we can contact you again if another position matches your profile. You may, of course, object to this. To find out more about how your data is used and how you can exercise your rights, please consult our privacy policy https://www.viseo.com/fr/politique-de-confidentialite.",VISEO,"Aîn-Chock, Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-java-f-h-at-viseo-3162049451?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=Yyp8kwAZSSZ2G2SzPw2Xsw%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
183,Ingénieur logiciel,"Diplôme IT
Stagiaire H/F",HJB HOLDNG & HJB Technologies & HJB Systems,Casablanca Metropolitan Area,No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-logiciel-at-hjb-holdng-hjb-technologies-hjb-systems-3786573264?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=9d2QwLkoE2WqQjLh8as8pQ%3D%3D&position=10&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
166,Tech Lead BI (H/F),"Qui sommes-nous ?

Orange Business est une entreprise de services digitaux née du réseau et l’entité d’Orange dédiée aux entreprises dans le monde. Grâce à son expertise d’opérateur et intégrateur de services à chacune des étapes de la chaîne de valeur digitale, Orange Business réunit tous les savoir-faire pour accompagner les entreprises notamment dans les réseaux SDN, les services multi-cloud, la Data et l’IA, les services de mobilité intelligente et la cybersécurité.",Orange Business,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/tech-lead-bi-h-f-at-orange-business-3784312312?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=P5DXOwz1syXB1VgdxSal6Q%3D%3D&position=18&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
167,Ingénieur Développement logiciel Java/Angular,"BYOS Maroc, division Maroc du Groupe Be Ys, recherche pour son équipe un développeur, agiliste - avec minimum 2 ans d'expérience.
Bac +5 obligatoire : Cycle supérieur en génie informatique et développements logiciels
2 ans + d’expérience en développement backend",Be Ys Outsourcing Services Maroc,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-d%C3%A9veloppement-logiciel-java-angular-at-be-ys-outsourcing-services-maroc-3782250466?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=%2BkhYwt10I%2FwMIEmHIzD41A%3D%3D&position=19&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
160,Senior Software Developer,"Le pôle IT du Groupe poursuit son développement avec la création d’un nouveau business line en Système d’information Télécom.
Dans le cadre de ce lancement, Intelcia IT Solutions recrute des Technical Spécialist qui seront en charge d’une activité d’expertise spécifique dans le domaine OSS/ B2B.",Intelcia IT Solutions,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/senior-software-developer-at-intelcia-it-solutions-3784307903?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=eP543ZQb0yofUsVA1GAKqg%3D%3D&position=12&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
189,[Java-Angular] : Full-Stack Developer,"Détails de l'offre (CDI)

Informations générales:
Entité de rattachement Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital.",Inetum,"Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/java-angular-full-stack-developer-at-inetum-3783200378?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=NJkyE7vrkL7b7%2FK6hXS0Og%3D%3D&position=16&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
210,Lead Developer PHP/Ibexa (F/H),"QUI SOMMES-NOUS ?

BEWIZYU est une agence digitale à impact positif qui crée des produits digitaux sur mesure, intègre des solutions éditeurs, et propose des formations certifiantes.Nous sommes présents à Lyon, Nantes, Niort et Rabat.

Nous co-construisons des réponses innovantes aux nouveaux usages du digital de nos clients, en leur apportant la plus haute valeur ajoutée possible dans une démarche d’éco-conception. Nous accompagnons chaque projet de l’idée jusqu’à la mise en œuvre.

‍

c’est avant tout des histoires humaines qui s’écrivent au fil des projets, par une équipe d'expert.e.s pluridisciplinaires, tou.te.s animé.e.s par la même passion du digital, la même bienveillance et le même souci permanent de la qualité.

Nos valeurs :





Suite à l’évolution de nos activités, nous créons un poste de Lead developer PHP/Ibexa. Votre challenge ? Contribuer à l’expertise web de Bewizyu sur le volet technique.







‍



Nous co-construisons ensemble un adapté à vos ambitions et à celles de Bewizyu.











‍Vous intégrez entre Lyon et Rabat : chefs de projets, experts web & mobile, développeurs fullstack. Plus passionnés les uns que les autres, ils et elles mettent un point d’honneur à accueillir et intégrer leurs nouveaux collègues comme il se doit !

Des et de sont organisés chaque mois pour apprendre et progresser tous ensemble.















Si votre profil est en adéquation avec nos besoins, vous contactera rapidement.

Nous prendrons le temps d’organiser des :



Vous participez également à qui nous permettra d'évaluer vos compétences techniques et de vous projeter pleinement dans le poste.

À lire 👉",bewizyu,"Rabat, Rabat-Salé-Kenitra, Morocco",No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/lead-developer-php-ibexa-f-h-at-bewizyu-3784925136?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=PWN1x5RucnyM3%2FuzEfWVUQ%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
2,Junior Python Developer (Remote Internship - IT),"LOCATION: Remote Work

SCHEDULE: Part-time

Are you passionate about software development and seeking a remarkable opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Python Developer Intern to join our esteemed client. This remote position presents a fantastic opportunity for someone eager to learn and grow in a dynamic and fast-paced environment.

As a Python Developer Intern, you will work closely with the software development and consulting teams, where you will be responsible for a variety of tasks, including software design, development, and debugging. You will have the unique chance to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this opportunity, you will gain valuable experience in software development, data analysis, and teamwork - all essential skills for a successful career in this field.











At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in software development - apply now!",TalentKompass Deutschland,"Rabat, Rabat-Salé-Kenitra, Morocco",No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/junior-python-developer-remote-internship-it-at-talentkompass-deutschland-3786034437?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=hENhs8FX5jO4QqwaXsyaSA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
3,Junior Python Developer (Remote Internship - IT),"LOCATION: Remote Work

SCHEDULE: Part-time

Are you passionate about software development and seeking a remarkable opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Python Developer Intern to join our esteemed client. This remote position presents a fantastic opportunity for someone eager to learn and grow in a dynamic and fast-paced environment.

As a Python Developer Intern, you will work closely with the software development and consulting teams, where you will be responsible for a variety of tasks, including software design, development, and debugging. You will have the unique chance to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this opportunity, you will gain valuable experience in software development, data analysis, and teamwork - all essential skills for a successful career in this field.











At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in software development - apply now!",TalentKompass Deutschland,"Essaouira, Marrakesh-Safi, Morocco",No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/junior-python-developer-remote-internship-it-at-talentkompass-deutschland-3786037365?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=%2BFzqKjRwh3NSZPUTlcwG2A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
208,Customer Data Intelligence,"Descriptif du poste :

1/ Construire les modèles de données de la Business Line Communication Services
Vous êtes en charge de construire les modèles de données de la business Line Communication Services en modélisant parcs, revenus, marges avec focus sur les transformations",Orange Business Maroc,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/customer-data-intelligence-at-orange-business-maroc-3766614209?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=8rjqt2RYO5%2FF48AL7coBVw%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
125,International Software Integrator,"Did you know that EDICOM is one of the world’s major EDI and e-invoicing businesses? Our solutions connect companies and large multinationals located on five continents and integrate their management systems.

EDICOM helps digitalize companies through the development of SaaS solutions (Software as a Service), automating and integrating data interchange (EDI), so eliminating manual insertion errors and unnecessary use of paper worldwide. The company has subsidiaries in New York, Milan, Paris, Valencia, Seville, Murcia, Mexico City, Bogota, Buenos Aires, Sao Paulo and Casablanca.",EDICOM HR,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/international-software-integrator-at-edicom-hr-3780618604?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=qnUFJlo4i3vphvtmwqqaRg%3D%3D&position=2&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
204,Backend Senior Developer H/F - Casablanca,"Eskimoz, c’est une agence d’acquisition digitale (SEO, Paid, Content, Data) qui propose un accompagnement sur mesure à ses clients pour répondre au mieux à leurs enjeux et contraintes.
Depuis 2015, l’agence s’est imposée sur le marché français puis européen en devenant progressivement un acteur incontournable du SEO.",Eskimoz,Casablanca Metropolitan Area,No,1 week ago,7.0,https://ma.linkedin.com/jobs/view/backend-senior-developer-h-f-casablanca-at-eskimoz-3784349542?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=A9RvNaR28sODII2ENt%2FzQQ%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
128,Core Firmware engineer,"De l’idéation à la fabrication, nous créons de nouvelles possibilités dans le domaine de l’électronique imprimée. Nous bâtissons un avenir plus vert sur quatre piliers dont l’innovation, le partenariat, l’excellence opérationnelle, le talent et œuvrons comme partenaires de confiance pour les leaders mondiaux des industries aérospatiales, médicales, industriels, défense.",E2IP TECHNOLOGIES,"Nouaceur Province, Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/core-firmware-engineer-at-e2ip-technologies-3785259549?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=0F6Jdf%2B8Te%2B1UAkVtVO8OQ%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
148,Ingénieur Infrastructure Système (H/F),"Rattaché(e) au Manager infrastructures et support au sein de la Direction des Systèmes d’Information, votre mission principale est de gérer et veiller au bon fonctionnement des Infrastructures informatiques.

Responsabilités et Activités principales :",MAROCLEAR,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-infrastructure-syst%C3%A8me-h-f-at-maroclear-3780658075?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=iRSQcURDOH9KWbpx4f1z5Q%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
143,Data Engineer F/H,"Choisis une ambition plutôt qu'un poste en rejoignant notre aventure !
Que dirais-tu de rejoindre une entreprise où l’excellence et l’expertise sont valorisées et encouragées ?
L'idée de contribuer à la naissance d'une entreprise te séduit ? Zenika s’installe à Casablanca et recherche dès aujourd’hui les piliers qui porteront le projet aux côtés d’Abdellah, Directeur de Zenika Maroc !",Zenika,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/data-engineer-f-h-at-zenika-3731412587?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=hvIeMMy9eX6%2FDojtPtmtEQ%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
197,Ingénieur Concepteur Développeur Front end,"Notre mission depuis 30 ans ?Être présent au bon moment !

Notre expertise ?Accompagner nos clients à capter l’attention de l’utilisateur et transformer cette interaction furtive en une interaction mémorable. C’est dans cette optique que nous accompagnons les entreprises dans la mise en œuvre, et le pilotage de dispositifs digitaux pour une expérience utilisateur réinventée.",SQLI,"Casablanca, Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-concepteur-d%C3%A9veloppeur-front-end-at-sqli-3781847200?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=8mW8xTtD%2B7026iK%2FAFpprg%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
211,Senior Application Developer/Team Lead,"TransPerfect Is More Than Just a Job…
Our greatest asset is our people, and nothing is more important to us than ensuring that everyone knows that. Each of our 100+ offices has its own individual identity, and each also has its own unique rewards.",TransPerfect,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/senior-application-developer-team-lead-at-transperfect-3769090758?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=oK1L528U6jpsm38KsAcyGw%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
196,Adobe Experience Manager (AEM) | Java Developer (Remote),"Here at Mindera we are continuously developing a fantastic team and would love for you to join us. We are a multinational Software Development company with branches around the world and highly recognized clients, mainly from the UK and US.",Mindera,Morocco,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/adobe-experience-manager-aem-java-developer-remote-at-mindera-3783955311?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=QaeH4ZTX6uh%2B5XbpBla9Iw%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
265,AD Validation Test Engineer H/F,"As the world is evolving to be connected, Stellantis recognizes that technology is going to disrupt the automotive industry significantly in the next decade. Our organization is seeking high potential, technology game changers to digitally transform the company with a focus on the customer experience.

Stellantis's Software Organization (SWx) was established to build the most captivating experiences in the latest frontiers of Automotive Technology. As part of that foundation, we are investing to rapidly grow our capabilities within the field of Automated Driving. We are seeking an Automated Driving Virtual Validation engineer working on L2-L3 test activities.

Virtual Validation is a branch of Core SW Virtual Verification & Validation that is out to validate the customer functions requirements of L2+/L3 features. In Deterministic Validation, it is expected to identify the requirements that need to be tested with a variation of different input parameters along with identification of KPIs and evaluator's needed and creation of Scenario based test cases to evaluate the performance of requirements. In this area we require an engineer with a background in computer science focusing on simulations in ADAS/AD and preferably, with a demonstrated knowledge of Validation Process. The nominated engineer will have a chance to collaborate with a global team working on a very new and challenging task to discover the Deterministic Validation and execution on ADAS/AD simulation tool.

The ideal candidate for this position is a self-productive person who can create the test cases in deterministic validation and validate it through local simulations and the toolchains (SIL/HIL. He/she will need to be able to write the test cases in ALM tool, test automation via python script, debugging and resolve the issues while execution phase with required AD tools. He/she will need to evaluate the new possible pipelines entering the company. He/she must provide structured feedback to the team lead and support the team for resolving the problems raising by executing test pattern files. He/she shall be proactive, has good leadership, Communicate and brainstorm new ideas with team and continuously improvise existing framework. He/she shall Work cross functionally to identify risks.





Bachelor of Science in Computer Science, Electrical, Mechanical Engineering or equivalent engineering degree from an ABET accredited university

2 or more years of experience in software DevOps or CI/CD

Proved experience using simulators or commercial simulation tools for ADAS/AD,

3 years of proactive coding experience in Python for creating test automation script

Demonstrated knowledge about software testing toolsets and languages.

Demonstrated knowledge about execution the test cases.

2 or more years of experience in Perform validation of ADAS features using automated test suites and system test validation which are align with ADAS/AD product requirements

Demonstrated knowledge about classification of product requirements, shall be testable or not and on which test platform



Master of Science in Computer Science, Electrical, Mechanical Engineering or equivalent engineering degree from an ABET accredited university

Demonstrated knowledge of ADAS/Autonomous Driving features and relative electronic architectures

Demonstrated knowledge of Json , OpenScenario and OpenDrive Scenario files

Experience in using the simulator's API using python to interact with the simulator

Demonstrated knowledge of test platforms such as Software and Hardware in the Loop

3 or more years of experience in AD scenario based simulation, either based on open source

Familiar with software DevOps or CI/CD environment and test tools: Docker, Airflow, Jenkins

Demonstrated Knowledge of Matlab/simulink Carsim,

system test validation of software components related to ADAS/AD

At Stellantis, we assess candidates based on qualifications, merit and business needs. We welcome applications from people of all gender identities, age, ethnicity, nationality, religion, sexual orientation and disability. Diverse teams will allow us to better meet the evolving needs of our customers and care for our future.",Stellantis,"Casablanca, Casablanca-Settat, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/ad-validation-test-engineer-h-f-at-stellantis-3543045124?refId=kX39VwbtPplXonlnPr5m4Q%3D%3D&trackingId=O5znOSdhssHeQkdYE3LKnA%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,1,2023-12-23
242,Sr Backend Java Developer,"Joining Cnexia is choosing to be part of an ambitious project that values Innovation, promotes Continuous Learning and enables all tech champions to fulfill their creative dreams.

At Cnexia, we do more than support the clients of our world-class network and services. We develop innovative solutions and create original multiplatform media content. In fact, we’re revolutionizing how Canadians communicate on the web, interact with Mobile Apps or benefit from an AI-enhanced experience.",Cnexia,Morocco,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/sr-backend-java-developer-at-cnexia-3782247661?refId=hktsH6qXRGndRKFGPE4Axw%3D%3D&trackingId=rAvGjUc3IJ2j%2Bfyt9i0UPg%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card,1,2023-12-23
72,Junior Blockchain Developer (Remote Internship - IT),"LOCATION: Remote Work

SCHEDULE: Part-time

Are you passionate about blockchain technology and seeking an unparalleled opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Blockchain Development Intern to join our esteemed client. This remote position offers an exceptional chance for someone eager to learn and grow in a dynamic and fast-paced environment.

As a Blockchain Development Intern, you will work closely with the consulting and development teams, where you will be responsible for a range of tasks, including designing, implementing, and testing blockchain solutions. You will have the extraordinary opportunity to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this internship, you will gain valuable experience in blockchain development, smart contracts, and teamwork - all essential skills for a successful career in this field.











At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in blockchain development - apply now!",TalentKompass Deutschland,"Essaouira, Marrakesh-Safi, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/junior-blockchain-developer-remote-internship-it-at-talentkompass-deutschland-3786031916?refId=2eY%2BA3f2K%2FFRapp6aHK%2B8w%3D%3D&trackingId=u3LeEu3SXumognMqtyVFtg%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,1,2023-12-23
237,Développeur dotnet,"BYOS Maroc, division Maroc du Groupe Be Ys, recherche pour son équipe IT, un développeur .NET Core -- avec 2 années d'expérience minimum
Bac +5 : ingénierie ou master en systèmes informatiques et développement logiciels.
La principale mission :",Be Ys Outsourcing Services Maroc,Casablanca Metropolitan Area,Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-dotnet-at-be-ys-outsourcing-services-maroc-3784197801?refId=hktsH6qXRGndRKFGPE4Axw%3D%3D&trackingId=p9r%2BPCxivGHTEQ%2FT8bmjww%3D%3D&position=14&pageNum=9&trk=public_jobs_jserp-result_search-card,1,2023-12-23
34,Application Developer,"TransPerfect Is More Than Just a Job…
Our greatest asset is our people, and nothing is more important to us than ensuring that everyone knows that. Each of our 100+ offices has its own individual identity, and each also has its own unique rewards.",TransPerfect,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 week ago,7.0,https://ma.linkedin.com/jobs/view/application-developer-at-transperfect-3769095361?refId=n916p2LTUfxgPdjKOmIpFA%3D%3D&trackingId=M6aCsLq4rcl1JUxlH3UZog%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,1,2023-12-23
